state,confirmed,dead,death_rate
New York,113806,3565,3.1
New Jersey,34124,846,2.5
Michigan,12744,479,3.8
California,12571,281,2.2
Florida,11111,191,1.7
Massachusetts,10402,192,1.8
Louisiana,10297,370,3.6
Pennsylvania,10017,136,1.4
Illinois,9266,210,2.3
Washington,6967,295,4.2
Texas,6060,104,1.7
Georgia,5967,198,3.3
Connecticut,4914,131,2.7
Colorado,4181,111,2.7
Indiana,3931,114,2.9
Ohio,3312,91,2.7
Maryland,3125,54,1.7
Tennessee,3068,44,1.4
North Carolina,2438,30,1.2
Arizona,2187,52,2.4
Missouri,2155,33,1.5
Wisconsin,2013,51,2.5
Virginia,2012,47,2.3
Nevada,1742,46,2.6
South Carolina,1700,34,2.0
Alabama,1535,38,2.5
Mississippi,1455,35,2.4
Utah,1255,7,0.6
Oklahoma,1161,42,3.6
Idaho,1013,10,1.0
Oregon,899,22,2.4
Kentucky,831,37,4.5
Minnesota,789,22,2.8
Iowa,786,14,1.8
District of Columbia,757,15,2.0
Arkansas,738,12,1.6
Rhode Island,711,14,2.0
Kansas,629,18,2.9
New Hampshire,540,7,1.3
New Mexico,534,10,1.9
Puerto Rico,452,18,4.0
Delaware,450,14,3.1
Maine,432,9,2.1
Vermont,389,17,4.4
Hawaii,319,3,0.9
Nebraska,285,6,2.1
Montana,262,5,1.9
West Virginia,237,2,0.8
South Dakota,212,2,0.9
North Dakota,186,3,1.6
Wyoming,166,0,0.0
Alaska,157,3,1.9
Grand Princess,103,3,2.9
Guam,84,4,4.8
Diamond Princess,49,0,0.0
Virgin Islands,38,0,0.0
Northern Mariana Islands,8,1,12.5
Missuori,3,0,0.0
American Samoa,0,0,
Recovered,0,0,
