Country,in the past 28 red,in the past 28 white,totals red,totals white,rate
Germany,2695736,4844,25287462,136523,"30,410.02 per 100,000 "
"Korea, South",2335145,4197,17504334,23289,"34,142.02 per 100,000 "
France,2193679,3452,29081169,147645,"44,568.95 per 100,000 "
Italy,1553283,3758,16726990,164304,"27,665.37 per 100,000 "
US,1441748,11725,81831854,997318,"24,837.70 per 100,000 "
Australia,1187051,945,6213952,7495,"24,407.01 per 100,000 "
Japan,1078765,1161,8016485,29761,"6,338.32 per 100,000 "
China,733973,1229,2284843,14510,"161.84 per 100,000 "
United Kingdom,575897,6493,22292077,176860,"32,837.52 per 100,000 "
Vietnam,534781,287,10670570,43055,"10,962.32 per 100,000 "
Thailand,458423,3059,4316769,29034,"6,184.48 per 100,000 "
Brazil,418368,2949,30543908,664326,"14,369.59 per 100,000 "
Spain,325994,1564,11953481,104668,"25,566.33 per 100,000 "
Canada,265900,1889,3803458,39764,"9,944.69 per 100,000 "
Portugal,252983,523,3935932,22420,"38,600.03 per 100,000 "
Russia,243474,5375,17951065,369106,"12,300.77 per 100,000 "
Taiwan*,242306,43,268569,896,"1,127.65 per 100,000 "
New Zealand,225774,364,989485,809,"20,519.23 per 100,000 "
Austria,208514,2060,4172760,18228,"46,331.05 per 100,000 "
Greece,201409,1324,3353886,29349,"32,177.57 per 100,000 "
Belgium,172604,555,4088336,31552,"35,573.51 per 100,000 "
Malaysia,147835,317,4455364,35576,"13,765.57 per 100,000 "
Finland,132075,816,1052767,4150,"19,000.55 per 100,000 "
Switzerland,107537,119,3636226,13726,"42,014.86 per 100,000 "
Israel,100051,182,4087878,10741,"47,228.45 per 100,000 "
South Africa,97312,421,3827378,100505,"6,453.32 per 100,000 "
Turkey,93859,484,15040238,98826,"17,833.06 per 100,000 "
Netherlands,89051,195,8239192,22897,"48,084.35 per 100,000 "
Singapore,80168,49,1212337,1346,"20,722.49 per 100,000 "
Chile,68034,659,3572817,57614,"18,689.99 per 100,000 "
India,64526,2368,43098743,524024,"3,123.09 per 100,000 "
Czechia,52057,340,3912121,40212,"36,531.21 per 100,000 "
