state,confirmed,dead,death_rate
New York,161807,7067,4.4
New Jersey,51027,1709,3.3
Michigan,21504,1076,5.0
California,20169,547,2.7
Massachusetts,18941,503,2.7
Pennsylvania,18633,365,2.0
Louisiana,18283,702,3.8
Florida,16826,371,2.2
Illinois,16424,529,3.2
Texas,11483,223,1.9
Georgia,10885,412,3.8
Connecticut,9784,380,3.9
Washington,9753,457,4.7
Indiana,6351,245,3.9
Colorado,6202,226,3.6
Maryland,6185,138,2.2
Ohio,5512,213,3.9
Tennessee,4634,94,2.0
Virginia,4042,109,2.7
North Carolina,3844,82,2.1
Missouri,3624,92,2.5
Arizona,3018,89,2.9
Wisconsin,2890,111,3.8
Alabama,2838,78,2.7
South Carolina,2793,67,2.4
Nevada,2456,81,3.3
Mississippi,2260,76,3.4
Utah,1977,13,0.7
Rhode Island,1727,43,2.5
Oklahoma,1686,80,4.7
District of Columbia,1523,32,2.1
Kentucky,1452,73,5.0
Idaho,1354,24,1.8
Oregon,1321,44,3.3
Iowa,1270,29,2.3
Minnesota,1242,50,4.0
Delaware,1209,23,1.9
Arkansas,1146,21,1.8
Kansas,1117,42,3.8
New Mexico,989,17,1.7
New Hampshire,819,21,2.6
Puerto Rico,683,33,4.8
Vermont,628,23,3.7
Nebraska,577,15,2.6
Maine,560,16,2.9
West Virginia,524,5,1.0
South Dakota,447,6,1.3
Hawaii,442,6,1.4
Montana,354,6,1.7
North Dakota,269,5,1.9
Wyoming,239,0,0.0
Alaska,235,7,3.0
Guam,128,4,3.1
Grand Princess,103,3,2.9
Virgin Islands,50,1,2.0
Diamond Princess,49,0,0.0
Northern Mariana Islands,11,2,18.2
American Samoa,0,0,
Recovered,0,0,
