countries,infected,deaths,recovered,active,death_rate,recovery_rate
United States,185270,3780,6347,175143,2.0,3.4
Italy,105792,12428,15729,77635,11.7,14.9
Spain,95923,8464,19259,68200,8.8,20.1
China,82277,3309,76205,2763,4.0,92.6
Germany,71690,774,16100,54816,1.1,22.5
France,52128,3523,9444,39161,6.8,18.1
Iran,44605,2898,14656,27051,6.5,32.9
United Kingdom,25447,1792,179,23476,7.0,0.7
Switzerland,16605,433,1823,14349,2.6,11.0
Turkey,13531,214,243,13074,1.6,1.8
Belgium,12775,705,1696,10374,5.5,13.3
Netherlands,12650,1039,251,11360,8.2,2.0
Austria,10180,128,1095,8957,1.3,10.8
South Korea,9786,162,5408,4216,1.7,55.3
Canada,8505,101,1162,7242,1.2,13.7
Portugal,7443,160,43,7240,2.1,0.6
Brazil,5717,201,127,5389,3.5,2.2
Israel,5358,20,224,5114,0.4,4.2
Norway,4641,39,13,4589,0.8,0.3
Australia,4561,19,358,4184,0.4,7.8
Sweden,4435,180,16,4239,4.1,0.4
Czechia,3257,31,45,3181,1.0,1.4
Ireland,3235,71,5,3159,2.2,0.2
Denmark,3029,90,75,2864,3.0,2.5
Malaysia,2766,43,537,2186,1.6,19.4
Chile,2738,12,156,2570,0.4,5.7
Russia,2337,17,121,2199,0.7,5.2
Poland,2311,33,7,2271,1.4,0.3
Romania,2245,82,220,1943,3.7,9.8
Ecuador,2240,75,54,2111,3.3,2.4
Luxembourg,2178,23,80,2075,1.1,3.7
Philippines,2084,88,49,1947,4.2,2.4
Japan,1953,56,424,1473,2.9,21.7
Pakistan,1938,26,76,1836,1.3,3.9
Thailand,1651,10,342,1299,0.6,20.7
Saudi Arabia,1563,10,165,1388,0.6,10.6
Indonesia,1528,136,81,1311,8.9,5.3
Finland,1418,17,10,1391,1.2,0.7
India,1397,35,123,1239,2.5,8.8
South Africa,1353,5,31,1317,0.4,2.3
Greece,1314,49,52,1213,3.7,4.0
Iceland,1135,2,198,935,0.2,17.4
Dominican Republic,1109,51,5,1053,4.6,0.5
Mexico,1094,28,35,1031,2.6,3.2
Panama,1075,27,9,1039,2.5,0.8
Peru,1065,30,394,641,2.8,37.0
Argentina,966,26,240,700,2.7,24.8
Singapore,926,3,240,683,0.3,25.9
Colombia,906,16,31,859,1.8,3.4
Serbia,900,23,42,835,2.6,4.7
Croatia,867,6,67,794,0.7,7.7
Slovenia,802,15,10,777,1.9,1.2
Qatar,781,2,62,717,0.3,7.9
Estonia,745,4,26,715,0.5,3.5
Algeria,716,44,46,626,6.1,6.4
Hong Kong,714,4,128,582,0.6,17.9
Cruise Ship,712,10,603,99,1.4,84.7
Egypt,710,46,157,507,6.5,22.1
Iraq,694,50,170,474,7.2,24.5
United Arab Emirates,664,6,61,597,0.9,9.2
New Zealand,647,1,74,572,0.2,11.4
Ukraine,645,17,10,618,2.6,1.6
Morocco,617,36,24,557,5.8,3.9
Bahrain,567,4,295,268,0.7,52.0
Lithuania,537,8,7,522,1.5,1.3
Armenia,532,3,30,499,0.6,5.6
Hungary,492,16,37,439,3.3,7.5
Lebanon,470,12,37,421,2.6,7.9
Bosnia and Herzegovina,420,13,17,390,3.1,4.0
Bulgaria,399,8,17,374,2.0,4.3
Latvia,398,0,1,397,0.0,0.3
Tunisia,394,10,3,381,2.5,0.8
Andorra,376,12,10,354,3.2,2.7
Slovakia,363,0,3,360,0.0,0.8
Moldova,353,4,18,331,1.1,5.1
Costa Rica,347,2,4,341,0.6,1.2
Kazakhstan,343,2,24,317,0.6,7.0
North Macedonia,329,9,12,308,2.7,3.6
Taiwan,322,5,39,278,1.6,12.1
Uruguay,320,1,25,294,0.3,7.8
Azerbaijan,298,5,26,267,1.7,8.7
Kuwait,289,0,73,216,0.0,25.3
Jordan,274,5,30,239,1.8,10.9
Cyprus,262,8,23,231,3.1,8.8
Burkina Faso,261,14,32,215,5.4,12.3
Réunion,247,0,1,246,0.0,0.4
Albania,243,15,52,176,6.2,21.4
San Marino,236,26,13,197,11.0,5.5
Vietnam,207,0,58,149,0.0,28.0
Cameroon,193,6,5,182,3.1,2.6
Oman,192,1,34,157,0.5,17.7
Cuba,186,6,8,172,3.2,4.3
Senegal,175,0,40,135,0.0,22.9
Afghanistan,174,4,5,165,2.3,2.9
Uzbekistan,172,2,7,163,1.2,4.1
Faroe Islands,169,0,74,95,0.0,43.8
Malta,169,0,2,167,0.0,1.2
Ivory Coast,168,1,6,161,0.6,3.6
Ghana,161,5,31,125,3.1,19.3
Belarus,152,1,47,104,0.7,30.9
Sri Lanka,143,2,17,124,1.4,11.9
Mauritius,143,5,0,138,3.5,0.0
Channel Islands,141,3,0,138,2.1,0.0
Honduras,141,7,3,131,5.0,2.1
Venezuela,135,3,39,93,2.2,28.9
Nigeria,135,2,8,125,1.5,5.9
Brunei,129,1,45,83,0.8,34.9
Martinique,128,3,27,98,2.3,21.1
West Bank and Gaza,119,1,18,100,0.8,15.1
Palestine,119,1,18,100,0.8,15.1
Guadeloupe,114,4,22,88,3.5,19.3
Georgia,110,0,21,89,0.0,19.1
Montenegro,109,2,0,107,1.8,0.0
Cambodia,109,0,23,86,0.0,21.1
Bolivia,107,6,0,101,5.6,0.0
Kyrgyzstan,107,0,3,104,0.0,2.8
Kosovo,106,1,1,104,0.9,0.9
Congo (Kinshasa),98,8,2,88,8.2,2.0
Mayotte,94,1,10,83,1.1,10.6
Trinidad and Tobago,87,3,1,83,3.4,1.1
Rwanda,75,0,0,75,0.0,0.0
Gibraltar,69,0,34,35,0.0,49.3
Liechtenstein,68,0,0,68,0.0,0.0
Paraguay,65,3,1,61,4.6,1.5
