countries,infected,deaths,recovered,active,death_rate,recovery_rate
United States,302641,8232,14518,279891,2.7,4.8
Spain,124736,11744,34219,78773,9.4,27.4
Italy,124632,15362,20996,88274,12.3,16.8
Germany,95637,1395,26400,67842,1.5,27.6
France,89953,7560,15438,66955,8.4,17.2
China,82524,3330,76927,2267,4.0,93.2
Iran,55743,3452,19736,32555,6.2,35.4
United Kingdom,42423,4320,215,37888,10.2,0.5
Turkey,23934,501,786,22647,2.1,3.3
Switzerland,20278,641,4846,14791,3.2,23.9
Belgium,18431,1283,3247,13901,7.0,17.6
Netherlands,16714,1655,257,14802,9.9,1.5
Canada,13860,228,2559,11073,1.6,18.5
Austria,11781,186,2507,9088,1.6,21.3
Portugal,10524,266,75,10183,2.5,0.7
South Korea,10156,177,6325,3654,1.7,62.3
Brazil,9391,376,127,8888,4.0,1.4
Israel,7851,44,427,7380,0.6,5.4
Sweden,6443,373,205,5865,5.8,3.2
Australia,5550,30,701,4819,0.5,12.6
Norway,5550,62,32,5456,1.1,0.6
Russia,4731,43,333,4355,0.9,7.0
Ireland,4604,137,25,4442,3.0,0.5
Czechia,4362,59,78,4225,1.4,1.8
Denmark,4258,161,1376,2721,3.8,32.3
Chile,4161,27,528,3606,0.6,12.7
Poland,3627,79,116,3432,2.2,3.2
Romania,3613,146,329,3138,4.0,9.1
Malaysia,3483,57,915,2511,1.6,26.3
Ecuador,3465,172,100,3193,5.0,2.9
Philippines,3094,144,57,2893,4.7,1.8
India,3082,86,229,2767,2.8,7.4
Japan,2935,69,514,2352,2.4,17.5
Pakistan,2818,41,131,2646,1.5,4.6
Luxembourg,2729,31,500,2198,1.1,18.3
Saudi Arabia,2179,29,420,1730,1.3,19.3
Indonesia,2092,191,150,1751,9.1,7.2
Thailand,2067,20,674,1373,1.0,32.6
Finland,1882,25,300,1557,1.3,15.9
Peru,1746,61,914,771,3.5,52.3
Mexico,1688,60,633,995,3.6,37.5
Greece,1673,68,78,1527,4.1,4.7
Panama,1673,41,13,1619,2.5,0.8
Serbia,1624,44,54,1526,2.7,3.3
United Arab Emirates,1505,10,125,1370,0.7,8.3
South Africa,1505,9,95,1401,0.6,6.3
Dominican Republic,1488,68,16,1404,4.6,1.1
Iceland,1417,4,396,1017,0.3,27.9
Argentina,1353,42,266,1045,3.1,19.7
Qatar,1325,3,109,1213,0.2,8.2
Colombia,1267,25,55,1187,2.0,4.3
Algeria,1251,130,90,1031,10.4,7.2
Ukraine,1225,32,25,1168,2.6,2.0
Singapore,1189,6,297,886,0.5,25.0
Croatia,1126,12,119,995,1.1,10.6
Egypt,1070,71,241,758,6.6,22.5
Estonia,1039,13,59,967,1.3,5.7
Slovenia,977,22,79,876,2.3,8.1
New Zealand,950,1,127,822,0.1,13.4
Morocco,883,58,65,760,6.6,7.4
Iraq,878,56,259,563,6.4,29.5
Hong Kong,862,4,173,685,0.5,20.1
Lithuania,771,11,7,753,1.4,0.9
Armenia,770,7,43,720,0.9,5.6
Moldova,752,12,29,711,1.6,3.9
Cruise Ship,712,11,619,82,1.5,86.9
