countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,83534060,12658,1024386,91,80910509,11863,1599165,1724,1011100248,1.2,96.9
India,43098743,458,524024,22,42554416,6717,20303,698,840332469,1.2,98.7
Brazil,30543908,-4040,664326,0,29612822,0,266760,8318,63776166,2.2,97.0
France,28890139,0,146608,0,27537766,-110,1205765,1408,269816888,0.5,95.3
Germany,25289590,0,136812,0,23206000,70500,1946778,1279,122332384,0.5,91.8
United Kingdom,22292077,112,176860,0,21456172,-97,659045,253,519264096,0.8,96.3
Russia,18222219,5500,376828,132,17596716,8649,248675,2300,273400000,2.1,96.6
South Korea,17504334,39552,23289,83,0,0,17481045,419,15804065,0.1,0.0
Italy,16726990,0,164304,0,15416301,0,1146385,363,215559634,1.0,92.2
Turkey,15040238,0,98826,0,14938050,0,3362,975,159650441,0.7,99.3
Spain,12009059,0,104869,0,11467015,0,437175,339,471036328,0.9,95.5
Vietnam,10670570,0,43055,0,9316237,0,1311278,480,85804106,0.4,87.3
Argentina,9083673,0,128653,0,8895999,0,59021,372,35716069,1.4,97.9
Netherlands,8239192,0,22897,0,7925872,13081,290423,52,21107399,0.3,96.2
Japan,8023895,7410,29761,0,7678842,48533,315292,165,49380167,0.4,95.7
Malaysia,7566394,0,60504,0,4391090,0,3114800,66,58880012,0.8,58.0
Iran,7224431,0,141157,0,6999709,0,83565,952,50914586,2.0,96.9
Australia,6213952,45091,7495,41,5834675,34597,371782,131,69899724,0.1,93.9
Colombia,6093645,-978,139809,-12,5927076,0,26760,342,34560302,2.3,97.3
Indonesia,6047986,0,156357,0,5885099,0,6530,2771,95994568,2.6,97.3
Poland,5999517,0,116124,0,5334855,0,548538,1125,36144527,1.9,88.9
Mexico,5740080,0,324350,0,5039624,0,376106,4798,15801675,5.7,87.8
Ukraine,5040518,0,112459,0,0,0,4928059,177,19521252,2.2,0.0
Thailand,4316769,8450,29037,58,4193895,12224,93837,1496,17270775,0.7,97.2
Austria,4177928,5168,18242,14,4090144,5981,69542,78,184069396,0.4,97.9
Belgium,4088336,0,31552,0,3884238,23093,172546,124,33714218,0.8,95.0
Israel,4087885,0,10741,0,4052605,0,24539,150,41373364,0.3,99.1
Portugal,3935932,82132,22420,140,0,0,3913512,61,41500718,0.6,0.0
Czechia,3912121,797,40212,9,3861855,1664,10054,22,55271340,1.0,98.7
South Africa,3827378,0,100505,0,3673270,0,53603,192,24626847,2.6,96.0
Canada,3803458,0,39763,0,3476863,9,286832,468,61161915,1.0,91.4
Philippines,3686693,0,60439,0,3621737,0,4517,289,29677552,1.6,98.2
Switzerland,3619035,0,13865,0,3507621,6990,97549,69,20851897,0.4,96.9
Chile,3572817,0,57614,0,3438624,-17,76579,180,37263025,1.6,96.2
Peru,3569026,334,212913,7,0,0,3356113,347,30012076,6.0,0.0
Greece,3353886,0,29349,0,3248273,0,76264,211,80435748,0.9,96.9
Denmark,3017438,0,6275,0,2951600,-8,59563,8,127272381,0.2,97.8
Romania,2898258,0,65551,0,2606660,0,226047,156,22810626,2.3,89.9
Sweden,2503090,0,18824,0,2472416,0,11850,16,18534055,0.8,98.8
Iraq,2325467,0,25213,0,2298866,0,1388,12,18493357,1.1,98.9
China,2284843,352,14510,13,204155,1878,2066178,587,160000000,0.6,8.9
Serbia,2009249,0,16019,0,1980853,0,12377,22,9530939,0.8,98.6
Bangladesh,1952766,0,29127,0,1897046,0,26593,1273,14004592,1.5,97.1
Hungary,1903200,0,46266,0,1808061,0,48873,40,11355462,2.4,95.0
Slovakia,1784899,489,19968,7,1753692,1443,11239,48,7112210,1.1,98.3
Jordan,1694216,0,14048,0,1678941,0,1227,124,16670254,0.8,99.1
Georgia,1655221,0,16811,0,1637293,0,1117,0,16920079,1.0,98.9
Pakistan,1528690,36,30372,0,1494141,0,4177,105,28228518,2.0,97.7
Ireland,1522363,0,7131,0,1474040,-23,41192,35,12101379,0.5,96.8
Norway,1427790,0,3006,0,0,0,1424784,20,11002430,0.2,0.0
Kazakhstan,1305584,11,13661,0,1291359,107,564,24,11575012,1.0,98.9
Singapore,1212337,0,1346,0,1145576,0,65415,5,23767171,0.1,94.5
Hong Kong,1206041,0,9344,0,0,0,1196697,5,44972952,0.8,0.0
Morocco,1165151,0,16070,0,1148780,0,301,293,11237010,1.4,98.6
Bulgaria,1158949,156,36965,0,989029,115,132955,77,9877826,3.2,85.3
Croatia,1126501,0,15874,0,1105260,0,5367,16,4807551,1.4,98.1
