countries,infected,deaths,recovered,active,death_rate,recovery_rate
United States,124686,2229,3238,119219,1.8,2.6
Italy,92472,10023,12384,70065,10.8,13.4
China,82119,3304,75575,3240,4.0,92.0
Spain,78797,6528,14709,57560,8.3,18.7
Germany,58247,455,8481,49311,0.8,14.6
Iran,38309,2640,12391,23278,6.9,32.3
France,37575,2314,5700,29561,6.2,15.2
United Kingdom,17299,1020,151,16128,5.9,0.9
Switzerland,14352,282,1595,12475,2.0,11.1
Belgium,10836,431,1359,9046,4.0,12.5
Netherlands,9808,639,4,9165,6.5,0.0
South Korea,9583,152,5033,4398,1.6,52.5
Austria,8411,86,479,7846,1.0,5.7
Turkey,7402,108,70,7224,1.5,0.9
Canada,5655,60,508,5087,1.1,9.0
Portugal,5170,100,43,5027,1.9,0.8
Norway,4054,23,7,4024,0.6,0.2
Australia,3980,16,244,3720,0.4,6.1
Brazil,3904,114,6,3784,2.9,0.2
Israel,3865,13,89,3763,0.3,2.3
Sweden,3447,105,16,3326,3.0,0.5
Czechia,2669,13,11,2645,0.5,0.4
Malaysia,2470,34,388,2048,1.4,15.7
Ireland,2415,36,5,2374,1.5,0.2
Denmark,2360,65,71,2224,2.8,3.0
Chile,1909,6,61,1842,0.3,3.2
Luxembourg,1831,18,40,1773,1.0,2.2
Ecuador,1823,48,3,1772,2.6,0.2
Romania,1760,38,169,1553,2.2,9.6
Poland,1717,19,7,1691,1.1,0.4
Japan,1693,52,404,1237,3.1,23.9
Russia,1534,8,64,1462,0.5,4.2
Pakistan,1526,13,29,1484,0.9,1.9
Philippines,1418,71,42,1305,5.0,3.0
Thailand,1388,7,97,1284,0.5,7.0
Indonesia,1285,114,64,1107,8.9,5.0
Finland,1221,9,10,1202,0.7,0.8
Saudi Arabia,1203,4,37,1162,0.3,3.1
South Africa,1187,1,31,1155,0.1,2.6
Greece,1061,32,52,977,3.0,4.9
India,987,25,87,875,2.5,8.8
Iceland,963,2,114,847,0.2,11.8
Panama,901,17,4,880,1.9,0.4
Mexico,848,16,4,828,1.9,0.5
Singapore,802,3,198,601,0.4,24.7
Argentina,745,19,72,654,2.6,9.7
Slovenia,730,11,10,709,1.5,1.4
Dominican Republic,719,28,3,688,3.9,0.4
Cruise Ship,712,10,597,105,1.4,83.8
Estonia,679,3,20,656,0.4,2.9
Peru,671,16,16,639,2.4,2.4
Serbia,659,11,42,606,1.7,6.4
Croatia,657,5,45,607,0.8,6.8
Colombia,608,6,10,592,1.0,1.6
Qatar,590,1,45,544,0.2,7.6
Hong Kong,582,4,112,466,0.7,19.2
Egypt,576,36,121,419,6.2,21.0
Iraq,547,42,143,362,7.7,26.1
New Zealand,514,1,56,457,0.2,10.9
Bahrain,499,4,272,223,0.8,54.5
United Arab Emirates,468,2,55,411,0.4,11.8
Algeria,454,29,31,394,6.4,6.8
Lebanon,438,10,30,398,2.3,6.8
Morocco,437,26,12,399,5.9,2.7
Lithuania,437,7,1,429,1.6,0.2
Armenia,424,3,30,391,0.7,7.1
Ukraine,418,9,5,404,2.2,1.2
Hungary,408,13,34,361,3.2,8.3
Latvia,347,0,1,346,0.0,0.3
Bulgaria,338,8,11,319,2.4,3.3
Bosnia and Herzegovina,323,6,8,309,1.9,2.5
Slovakia,314,0,2,312,0.0,0.6
Andorra,308,3,1,304,1.0,0.3
Uruguay,304,1,0,303,0.3,0.0
Taiwan,298,2,30,266,0.7,10.1
Costa Rica,295,2,3,290,0.7,1.0
Tunisia,278,8,2,268,2.9,0.7
Kuwait,255,0,67,188,0.0,26.3
Kazakhstan,251,1,18,232,0.4,7.2
Jordan,246,1,18,227,0.4,7.3
North Macedonia,241,4,3,234,1.7,1.2
Moldova,231,2,2,227,0.9,0.9
San Marino,224,22,6,196,9.8,2.7
Albania,212,10,33,169,4.7,15.6
Burkina Faso,207,11,21,175,5.3,10.1
Réunion,183,0,1,182,0.0,0.5
Azerbaijan,182,4,15,163,2.2,8.2
Cyprus,179,5,15,159,2.8,8.4
Vietnam,179,0,21,158,0.0,11.7
Oman,167,0,23,144,0.0,13.8
Faroe Islands,159,0,70,89,0.0,44.0
Malta,149,0,2,147,0.0,1.3
Senegal,142,0,27,115,0.0,19.0
Ghana,141,5,2,134,3.5,1.4
Ivory Coast,140,0,3,137,0.0,2.1
Uzbekistan,133,2,7,124,1.5,5.3
Brunei,126,1,34,91,0.8,27.0
Cuba,119,3,4,112,2.5,3.4
Venezuela,119,2,39,78,1.7,32.8
Sri Lanka,115,1,10,104,0.9,8.7
Afghanistan,110,4,2,104,3.6,1.8
Honduras,110,1,3,106,0.9,2.7
West Bank and Gaza,106,1,18,87,0.9,17.0
Palestine,106,1,18,87,0.9,17.0
Cambodia,103,0,21,82,0.0,20.4
Mauritius,102,2,0,100,2.0,0.0
Guadeloupe,102,2,17,83,2.0,16.7
Channel Islands,100,1,0,99,1.0,0.0
Nigeria,97,1,3,93,1.0,3.1
Belarus,94,0,32,62,0.0,34.0
Martinique,93,1,0,92,1.1,0.0
Cameroon,91,2,2,87,2.2,2.2
Kosovo,91,1,1,89,1.1,1.1
Georgia,90,0,18,72,0.0,20.0
Kyrgyzstan,84,0,0,84,0.0,0.0
Montenegro,84,1,0,83,1.2,0.0
Bolivia,81,0,0,81,0.0,0.0
Trinidad and Tobago,76,3,1,72,3.9,1.3
Congo (Kinshasa),65,6,2,57,9.2,3.1
Mayotte,63,0,0,63,0.0,0.0
Rwanda,60,0,0,60,0.0,0.0
Paraguay,56,3,1,52,5.4,1.8
Gibraltar,56,0,14,42,0.0,25.0
Liechtenstein,56,0,0,56,0.0,0.0
Bangladesh,48,5,15,28,10.4,31.2
Aruba,46,0,1,45,0.0,2.2
Monaco,43,1,1,41,2.3,2.3
Madagascar,39,0,0,39,0.0,0.0
Kenya,38,1,1,36,2.6,2.6
Isle of Man,37,0,0,37,0.0,0.0
Macau,34,0,10,24,0.0,29.4
Guatemala,34,1,10,23,2.9,29.4
Jamaica,32,1,2,29,3.1,6.2
Uganda,30,0,0,30,0.0,0.0
French Guiana,28,0,6,22,0.0,21.4
Zambia,28,0,0,28,0.0,0.0
Barbados,26,0,0,26,0.0,0.0
Togo,25,1,1,23,4.0,4.0
El Salvador,24,0,0,24,0.0,0.0
Ethiopia,19,0,1,18,0.0,5.3
Mali,18,1,0,17,5.6,0.0
Niger,18,1,0,17,5.6,0.0
Maldives,17,0,11,6,0.0,64.7
Bermuda,17,0,2,15,0.0,11.8
New Caledonia,15,0,0,15,0.0,0.0
Haiti,15,0,1,14,0.0,6.7
Tanzania,14,0,1,13,0.0,7.1
Djibouti,14,0,0,14,0.0,0.0
Mongolia,12,0,0,12,0.0,0.0
Equatorial Guinea,12,0,0,12,0.0,0.0
Namibia,11,0,2,9,0.0,18.2
Dominica,11,0,0,11,0.0,0.0
Saint Martin,11,0,0,11,0.0,0.0
Bahamas,10,0,1,9,0.0,10.0
Greenland,10,0,2,8,0.0,20.0
Grenada,9,0,0,9,0.0,0.0
Eswatini,9,0,0,9,0.0,0.0
Guyana,8,1,0,7,12.5,0.0
