Country,Total confirmed cases,Total deaths,Confirmed recoveries,Cases confirmed today,Deaths today,Recoveries confirmed today
united-states,"302,641","8,232","14,518","25,676",841,"2,235"
spain,"124,736","11,744","34,219","5,537",546,"3,706"
italy,"124,632","15,362","20,996","4,805",681,"1,238"
germany,"95,637","1,395","26,400","4,478",120,"1,825"
france,"89,953","7,560","15,438","25,615","1,053","1,430"
china,"82,524","3,330","76,927",32,4,186
iran,"55,743","3,452","19,736","2,560",158,"1,801"
united-kingdom,"42,423","4,320",215,"3,751",709,7
turkey,"23,934",501,786,"3,013",76,302
switzerland,"20,278",641,"4,846",672,50,0
belgium,"18,431","1,283","3,247","1,661",140,375
netherlands,"16,714","1,655",257,906,166,0
canada,"13,860",228,"2,559","1,444",20,373
austria,"11,781",186,"2,507",257,18,485
portugal,"10,524",266,75,638,20,7
south-korea,"10,156",177,"6,325",94,3,304
brazil,"9,391",376,127,197,13,0
israel,"7,851",44,427,423,4,24
sweden,"6,443",373,205,312,15,0
australia,"5,550",30,701,96,2,52
norway,"5,550",62,32,180,3,0
russia,"4,731",43,333,582,9,52
ireland,"4,604",137,25,331,17,0
czechia,"4,362",59,78,172,6,6
denmark,"4,258",161,"1,376",322,22,92
chile,"4,161",27,528,424,5,101
poland,"3,627",79,116,244,8,60
romania,"3,613",146,329,430,13,46
malaysia,"3,483",57,915,150,4,88
ecuador,"3,465",172,100,97,27,35
philippines,"3,094",144,57,76,8,5
india,"3,082",86,229,515,14,37
japan,"2,935",69,514,318,6,0
pakistan,"2,818",41,131,132,1,5
luxembourg,"2,729",31,500,117,0,0
saudi-arabia,"2,179",29,420,140,4,69
indonesia,"2,092",191,150,106,10,16
thailand,"2,067",20,674,89,1,62
finland,"1,882",25,300,267,5,0
peru,"1,746",61,914,151,0,377
mexico,"1,688",60,633,178,10,0
greece,"1,673",68,78,60,5,0
panama,"1,673",41,13,0,0,3
serbia,"1,624",44,54,148,5,0
united-arab-emirates,"1,505",10,125,241,1,17
south-africa,"1,505",9,95,0,0,0
dominican-republic,"1,488",68,16,0,0,0
iceland,"1,417",4,396,53,0,87
argentina,"1,353",42,266,0,0,0
qatar,"1,325",3,109,250,0,16
colombia,"1,267",25,55,0,0,0
algeria,"1,251",130,90,80,25,28
ukraine,"1,225",32,25,153,5,3
singapore,"1,189",6,297,75,1,15
croatia,"1,126",12,119,47,4,27
egypt,"1,070",71,241,85,5,25
estonia,"1,039",13,59,78,1,11
slovenia,977,22,79,43,2,9
new-zealand,950,1,127,82,0,24
morocco,883,58,65,92,10,8
iraq,878,56,259,58,2,33
hong-kong,862,4,173,17,0,0
lithuania,771,11,7,75,2,0
armenia,770,7,43,34,0,0
moldova,752,12,29,161,4,3
cruise-ship,712,11,619,0,0,0
bahrain,688,4,423,16,0,41
hungary,678,32,58,55,6,15
bosnia-and-herzegovina,623,21,31,44,4,4
tunisia,553,19,5,58,1,0
