Country,Total confirmed,Total_confirmed_today,Total_deaths,Total_deaths_today,Total_Recoveries,Total_Recoveries_today,Active_confirmed,Critical,Mortality_close,Mortality_confirmed,Total_tests,Total_tests_today
united-states,"83,534,060","12,658","1,024,386",91,"80,910,509","11,863","1,599,165","1,724 (0%)","1,599,165",1%,"1,011,100,248","135,714"
india,"43,098,743",458,"524,024",22,"42,554,416","6,717","20,303",698 (3%),"20,303",1%,"840,332,469","1,376,892"
brazil,"30,543,908",0,"664,326",0,"29,612,822",0,"266,760","8,318 (3%)","266,760",2%,"63,776,166",0
france,"28,890,139","40,224","146,608",110,"27,537,876","111,461","1,205,655","1,511 (0%)","1,205,655",1%,"269,816,888",0
germany,"25,289,590","86,026","136,812",248,"23,135,500","135,000","2,017,278","1,279 (0%)","2,017,278",1%,"122,332,384",0
united-kingdom,"22,292,077",112,"176,860",0,"21,456,172",0,"659,045",253 (0%),"659,045",1%,"519,264,096",0
russia,"18,222,219","5,500","376,828",132,"17,596,716","8,649","248,675","2,300 (1%)","248,675",2%,"273,400,000",0
south-korea,"17,504,334","39,552","23,289",83,0,0,"17,481,045",419 (0%),"17,481,045",0%,"15,804,065",0
italy,"16,726,990","44,364","164,304",125,"15,416,301","62,978","1,146,385",363 (0%),"1,146,385",1%,"215,559,634","302,406"
turkey,"15,040,238","2,996","98,826",18,"14,938,050","4,021","3,362",975 (29%),"3,362",1%,"159,650,441","236,579"
spain,"12,009,059","55,578","104,869",201,"11,467,015","20,109","437,175",339 (0%),"437,175",1%,"471,036,328",0
vietnam,"10,670,570","3,819","43,055",6,"9,316,237","1,817","1,311,278",480 (0%),"1,311,278",0%,"85,804,106",527
argentina,"9,083,673",0,"128,653",0,"8,895,999",0,"59,021",372 (1%),"59,021",1%,"35,716,069",0
netherlands,"8,239,192","3,194","22,897",4,"7,912,791","7,912,791","303,504",52 (0%),"303,504",0%,"21,107,399",0
japan,"8,023,895","7,410","29,761",0,"7,678,842","48,533","315,292",165 (0%),"315,292",0%,"49,380,167","225,086"
malaysia,"7,566,394",813,"60,504",4,"4,391,090",0,"3,114,800",66 (0%),"3,114,800",1%,"58,880,012",0
iran,"7,224,431",375,"141,157",12,"6,999,709","2,659","83,565",952 (1%),"83,565",2%,"50,914,586",0
australia,"6,213,952","45,091","7,495",41,"5,834,675","34,597","371,782",131 (0%),"371,782",0%,"69,899,724","87,201"
colombia,"6,093,645",0,"139,809",0,"5,927,076",0,"26,760",342 (1%),"26,760",2%,"34,560,302",0
indonesia,"6,047,986",245,"156,357",17,"5,885,099",329,"6,530","2,771 (42%)","6,530",3%,"95,994,568","96,064"
poland,"5,999,517",608,"116,124",25,"5,334,855",34,"548,538","1,125 (0%)","548,538",2%,"36,144,527","11,205"
mexico,"5,740,080",0,"324,350",0,"5,039,624",0,"376,106","4,798 (1%)","376,106",6%,"15,801,675",0
ukraine,"5,040,518",0,"112,459",0,0,0,"4,928,059",177 (0%),"4,928,059",2%,"19,521,252",0
thailand,"4,316,769","8,450","29,037",58,"4,193,895","12,224","93,837","1,496 (2%)","93,837",1%,"17,270,775",0
austria,"4,177,928","5,168","18,242",14,"4,090,144","5,981","69,542",78 (0%),"69,542",0%,"184,069,396","100,098"
belgium,"4,088,336","17,057","31,552",58,"3,861,145","11,116","195,639",131 (0%),"195,639",1%,"33,643,042",0
israel,"4,087,885","2,467","10,741",42,"4,052,605",0,"24,539",150 (1%),"24,539",0%,"41,373,364",0
portugal,"3,935,932","82,132","22,420",140,0,0,"3,913,512",61 (0%),"3,913,512",1%,"41,500,718",0
czechia,"3,912,121",797,"40,212",9,"3,861,855","1,664","10,054",22 (0%),"10,054",1%,"55,271,340","9,405"
south-africa,"3,827,378","19,010","100,505",98,"3,673,270","10,117","53,603",192 (0%),"53,603",3%,"24,626,847","72,435"
canada,"3,803,458","8,970","39,763",82,"3,476,854","3,086","286,841",468 (0%),"286,841",1%,"61,107,311",0
philippines,"3,686,693",150,"60,439",0,"3,621,737",327,"4,517",289 (6%),"4,517",2%,"29,677,552","19,172"
switzerland,"3,619,035",0,"13,865",0,"3,500,631","8,580","104,539",69 (0%),"104,539",0%,"20,851,897",0
chile,"3,572,817","3,325","57,614",17,"3,438,641","4,021","76,562",180 (0%),"76,562",2%,"37,263,025","52,979"
peru,"3,569,026",334,"212,913",7,0,0,"3,356,113",347 (0%),"3,356,113",6%,"30,012,076","30,629"
greece,"3,353,886","5,130","29,349",34,"3,248,273",0,"76,264",211 (0%),"76,264",1%,"80,435,748","107,516"
denmark,"3,017,438",807,"6,275",8,"2,951,608","1,509","59,555",8 (0%),"59,555",0%,"127,272,381","8,527"
romania,"2,898,258",730,"65,551",11,"2,606,660",0,"226,047",156 (0%),"226,047",2%,"22,810,626","19,188"
sweden,"2,503,090",0,"18,824",0,"2,472,416",0,"11,850",16 (0%),"11,850",1%,"18,534,055",0
iraq,"2,325,467",70,"25,213",1,"2,298,866",149,"1,388",12 (1%),"1,388",1%,"18,493,357","3,557"
china,"2,284,843",352,"14,510",13,"204,155","1,878","2,066,178",587 (0%),"2,066,178",1%,"160,000,000",0
serbia,"2,009,249",509,"16,019",4,"1,980,853","2,234","12,377",22 (0%),"12,377",1%,"9,530,939","8,279"
bangladesh,"1,952,766",19,"29,127",0,"1,897,046",258,"26,593","1,273 (5%)","26,593",1%,"14,004,592","3,455"
hungary,"1,903,200",0,"46,266",0,"1,808,061",0,"48,873",40 (0%),"48,873",2%,"11,355,462",0
slovakia,"1,784,899",489,"19,968",7,"1,753,692","1,443","11,239",48 (0%),"11,239",1%,"7,112,210","2,718"
jordan,"1,694,216",0,"14,048",0,"1,678,941",0,"1,227",124 (10%),"1,227",1%,"16,670,254",0
georgia,"1,655,221",0,"16,811",0,"1,637,293",0,"1,117",0 (0%),"1,117",1%,"16,920,079",0
pakistan,"1,528,690",36,"30,372",0,"1,494,141",0,"4,177",105 (3%),"4,177",2%,"28,228,518","7,750"
ireland,"1,522,363",889,"7,131",23,"1,474,063","4,054","41,169",35 (0%),"41,169",0%,"12,101,379","12,770"
norway,"1,427,790",305,"3,006",0,0,0,"1,424,784",20 (0%),"1,424,784",0%,"11,002,430",0
kazakhstan,"1,305,584",11,"13,661",0,"1,291,359",107,564,24 (4%),564,1%,"11,575,012",0
singapore,"1,212,337","3,420","1,346",2,"1,145,576","1,423","65,415",5 (0%),"65,415",0%,"23,767,171",0
hong-kong,"1,206,041",324,"9,344",11,0,0,"1,196,697",5 (0%),"1,196,697",1%,"44,972,952",0
morocco,"1,165,151",67,"16,070",1,"1,148,780",72,301,293 (97%),301,1%,"11,237,010",0
bulgaria,"1,158,949",156,"36,965",0,"989,029",115,"132,955",77 (0%),"132,955",3%,"9,877,826",0
croatia,"1,126,501",778,"15,874",9,"1,105,260","1,023","5,367",16 (0%),"5,367",1%,"4,807,551","3,455"
cuba,"1,103,753",147,"8,527",0,"1,094,554",137,672,23 (3%),672,1%,"12,920,253",0
